"Summary","Description","Issue Type","Priority","Component/s","Labels"
"[BE] requireRider skips is_approved on 3 of 6 endpoints","deliveryPartner.controller.ts:28-58 — requireRider only validates the session token exists/isn't expired. acceptOrder/acceptOffer individually check is_approved, but rejectOrder/markPickedUp/markDelivered don't — so a pending_verification rider signed up seconds ago can still call those three.","Bug","Highest","Backend","security auth"
"[BE] supabaseAdmin silently falls back to anon client","config/database.ts:61-62 — export const supabaseAdmin = supabaseServiceKey ? createClient(...) : supabase; JWT-role validation logs loud errors on a bad key, but the fallback itself is unchanged: any DB operation meant to bypass RLS instead silently runs as anon and gets RLS-filtered, rather than failing closed. Given how many critical paths depend on supabaseAdmin (checkout, payments, admin), a misconfigured key degrades to confusing empty-result bugs instead of a loud startup failure.","Bug","Highest","Backend","security qa-audit"
"[BE] storeOwner.routes.ts has no router-level auth","Unlike every other role's router. deleteStoreProduct (103-151) looks up app_users by session token without filtering role='shopkeeper', unlike other handlers in the same file — inconsistent auth pattern, latent IDOR if stores.owner_id is ever set programmatically for a non-shopkeeper.","Bug","High","Backend","security auth"
"[BE] cancelOrder has no order-status guard","database.service.ts:419-506 only blocks cancellation if a delivery partner is assigned — never checks if the order is already order_delivered. A delivered order can be cancelled and auto-refunded (payment_status === 'paid' triggers processRefund).","Bug","High","Backend","money"
"[BE] Admin updateOrderStatus has no state-machine check","orders.controller.ts:205-265 — any admin session can move order_delivered back to pending_at_store, re-triggering customer notifications inappropriately.","Bug","High","Backend",""
"[BE] Tracking endpoints leak PII cross-customer","tracking.controller.ts — getOrderTracking, getOrderTrackingFull, getDriverLocationsForOrder, getTrackingHistory never check the requested orderId belongs to req.customerId, despite being requireCustomer-gated. Any logged-in customer can view any other customer's delivery address + rider phone/location by guessing/observing an order UUID.","Bug","Highest","Backend","security pii"
"[BE] Riders can spoof GPS / write arbitrary order status","tracking.controller.ts:107-122 (updateAgentLocation) never checks agentId === req.riderId. addTrackingUpdate (64-87) accepts any status string with no ownership check and no enum validation, writing directly into customer_orders.status — despite a code comment explicitly saying this route 'must not be open.'","Bug","High","Backend","security"
"[BE] Delivery/pickup OTP is brute-forceable","verifyDeliveryOTP (537-567), verifyPickupCode (862-934) — 4-digit codes, no rate limiting, no lockout, directly gate 'proof of delivery.'","Bug","Highest","Backend","security"
"[BE] Driver broadcast searches from delivery address, not store","shopkeeper.controller.ts's broadcastToNearbyDrivers() (~638-646) and delivery.controller.ts:187-212 both select customer_orders.delivery_latitude/delivery_longitude as the search center. A driver 'nearby' the delivery address may be far from the store the order needs picking up from first, and vice versa — drivers close to the store but far from the eventual drop-off never get offered the order.","Bug","High","Backend","qa-audit dispatch"
"[Web] Razorpay amount fully client-computed, no recheck","pages/CheckoutPage.tsx:427 -> services/paymentGateway.ts:76-89 posts a client-computed amount to /api/payment/create. Combined with backend order-total trust issues, there's no verified guardrail preventing a manipulated total from reaching payment creation.","Bug","Highest","Website Frontend","security money"
"[Web] Direct-from-browser order-write fallback path","utils/apiBase.ts:18-21 (shouldUseBackendApi) + services/supabase.ts:483-750 (createOrder) — if VITE_API_URL is ever unset in production, the app falls back to writing customer_orders/store_orders/order_items directly from the browser via an anon-key client, letting the client set order_total/discount_amount/payment_status directly, relying entirely on unverified RLS.","Bug","Highest","Website Frontend","security money"
"[Web] Logout doesn't clear the cart","context/AuthContext.tsx:166-186 (logoutUser) never calls clearCart(). Shared/kiosk device: User B logs in after User A logs out and sees/can check out User A's cart. LocationContext's saved location is likewise never cleared.","Bug","High","Website Frontend",""
"[Web] No global 401 handling on the customer site","Only ShopkeeperApp.tsx/DriverApp.tsx check status === 401; the actual customer flow never detects an expired/revoked session, clears it, and redirects to login — user gets stuck with isAuthenticated: true but every API call silently failing.","Bug","High","Website Frontend",""
"[Web] useOrderTrackingRealtime.ts stale closure bug","Lines 64-96,99-147 — the realtime-subscription effect's dependency array is [orderId, !!order] (a boolean), not [orderId, order], so the closure keeps referencing the first render's order object. Any order field not explicitly re-assigned in each update permanently reverts to its first-render value.","Bug","High","Website Frontend",""
"[Web] GSTIN/business name discarded from order payload","pages/CheckoutPage.tsx:80-82 (state) / :451-474 (orderData — no gstin/businessName field). Business customers filling this in get no GST record on their invoice. Distinct from the mobile app's version, already fixed.","Bug","High","Website Frontend","qa-audit money"
"[Web] Invoice download sends raw UUID as Bearer token","pages/OrdersPage.tsx:251-254 — Authorization: Bearer ${user.id}. Fragile/misleading auth pattern; would be directly exploitable if requireCustomer ever regressed to accepting bare UUIDs.","Bug","High","Website Frontend","qa-audit security"
