"Summary","Description","Issue Type","Priority","Component/s","Labels"
"[BE] requireRider skips is_approved on 3 of 6 endpoints","deliveryPartner.controller.ts:28-58 — requireRider only validates the session token exists/isn't expired. acceptOrder/acceptOffer individually check is_approved, but rejectOrder/markPickedUp/markDelivered don't — so a pending_verification rider signed up seconds ago can still call those three.","Bug","Highest","Backend","security auth"
"[BE] supabaseAdmin silently falls back to anon client","config/database.ts:61-62 — export const supabaseAdmin = supabaseServiceKey ? createClient(...) : supabase; JWT-role validation logs loud errors on a bad key, but the fallback itself is unchanged: any DB operation meant to bypass RLS instead silently runs as anon and gets RLS-filtered, rather than failing closed. Given how many critical paths depend on supabaseAdmin (checkout, payments, admin), a misconfigured key degrades to confusing empty-result bugs instead of a loud startup failure.","Bug","Highest","Backend","security qa-audit"
"[BE] storeOwner.routes.ts has no router-level auth","Unlike every other role's router. deleteStoreProduct (103-151) looks up app_users by session token without filtering role='shopkeeper', unlike other handlers in the same file — inconsistent auth pattern, latent IDOR if stores.owner_id is ever set programmatically for a non-shopkeeper.","Bug","High","Backend","security auth"
"[BE] cancelOrder has no order-status guard","database.service.ts:419-506 only blocks cancellation if a delivery partner is assigned — never checks if the order is already order_delivered. A delivered order can be cancelled and auto-refunded (payment_status === 'paid' triggers processRefund).","Bug","High","Backend","money"
"[BE] Admin updateOrderStatus has no state-machine check","orders.controller.ts:205-265 — any admin session can move order_delivered back to pending_at_store, re-triggering customer notifications inappropriately.","Bug","High","Backend",""
"[BE] Tracking endpoints leak PII cross-customer","tracking.controller.ts — getOrderTracking, getOrderTrackingFull, getDriverLocationsForOrder, getTrackingHistory never check the requested orderId belongs to req.customerId, despite being requireCustomer-gated. Any logged-in customer can view any other customer's delivery address + rider phone/location by guessing/observing an order UUID.","Bug","Highest","Backend","security pii"
"[BE] Riders can spoof GPS / write arbitrary order status","tracking.controller.ts:107-122 (updateAgentLocation) never checks agentId === req.riderId. addTrackingUpdate (64-87) accepts any status string with no ownership check and no enum validation, writing directly into customer_orders.status — despite a code comment explicitly saying this route 'must not be open.'","Bug","High","Backend","security"
"[BE] Delivery/pickup OTP is brute-forceable","verifyDeliveryOTP (537-567), verifyPickupCode (862-934) — 4-digit codes, no rate limiting, no lockout, directly gate 'proof of delivery.'","Bug","Highest","Backend","security"
"[BE] Driver broadcast searches from delivery address, not store","shopkeeper.controller.ts's broadcastToNearbyDrivers() (~638-646) and delivery.controller.ts:187-212 both select customer_orders.delivery_latitude/delivery_longitude as the search center. A driver 'nearby' the delivery address may be far from the store the order needs picking up from first, and vice versa — drivers close to the store but far from the eventual drop-off never get offered the order.","Bug","High","Backend","qa-audit dispatch"
"[BE] delivery_fee/tip not verified server-side in checkout","database.service.ts:722-1034. Client-sent delivery_fee is stored as-is; the frontend's real total also adds an optional customer tip not sent as its own field (pre-folded into order_total by CheckoutPage.tsx). Worst case bounded (skip the delivery charge, or under-total by a manipulated tip). Proper fix needs a frontend contract change (send tip_amount separately, backend independently computes distance-tiered delivery fee).","Bug","Medium","Backend","money"
"[BE] No admin UI to view/set master_products.gst_rate","Confirmed via full grep of admin/src — zero references outside a read-only price-display calculation. The column is real, per-product, admin-controlled in the data model, but can only be set by hand in the Supabase table editor. Likely why most products currently have it unset/0.","Bug","Medium","Backend",""
"[BE] Coupon usage_count increment is non-atomic","database.service.ts:1199-1215 — concurrent checkouts can both pass the usage-limit check before either write lands, letting a usage_limit: 1 coupon be redeemed multiple times under burst traffic.","Bug","Medium","Backend","money"
"[BE] Google Places proxy is public with no rate limiting","places.routes.ts (all 6 routes) — unlike the OTP endpoints, nothing throttles this; scriptable to run up Google Maps billing (cost-DoS).","Bug","Medium","Backend","security cost"
"[BE] getOrderById returns 500 instead of 404",".single() throws before the !order check can run — database.service.ts:402-417 / orders.controller.ts:188-203. Worth a broader audit of .single() vs .maybeSingle() usage.","Bug","Medium","Backend",""
"[BE] Admin coupon/delivery endpoints have no schema validation","Unlike orders.routes.ts (uses validate(schema)) — coupons.controller.ts:29-49, delivery.controller.ts:50-75 pass req.body straight to the DB layer.","Bug","Medium","Backend",""
"[BE] notifications.controller.ts has an IDOR pattern","No req.customerId cross-check on userId/notificationId — currently harmless because the backing service (database.service.ts:1668-1687) is a complete stub. Will become exploitable the moment someone implements it without also adding the ownership check the route comment incorrectly claims already exists.","Bug","Medium","Backend","security"
"[BE] No notification when admin approves store/rider","notification.service.ts only covers new-order events — approving a store or rider triggers no push/SMS/email; both mobile apps only find out via polling.","Bug","Medium","Backend",""
